iteration,official_year,ceremony_date,category_group,category,official_name,common_name,nomination_id,statement,pending,winner,official,stat,statement_name,statement_ind,entity_imdb_id,entity_type,name,title_imdb_id,title,detail,title_winner,note
1,1927/28,1929-05-16,Other,Picture,OUTSTANDING PICTURE,Outstanding Picture,21,Fox,False,False,True,True,Fox,0,co0028775,company,Fox,tt0018379,7th Heaven,[],False,
1,1927/28,1929-05-16,Other,Unique and Artistic Picture,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,22,Fox,False,True,True,True,Fox,0,co0028775,company,Fox,tt0018455,Sunrise,[],True,
1,1927/28,1929-05-16,Other,Unique and Artistic Picture,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,23,Metro-Goldwyn-Mayer,False,False,True,True,Metro-Goldwyn-Mayer,0,co0007143,company,Metro-Goldwyn-Mayer,tt0018806,The Crowd,[],False,
1,1927/28,1929-05-16,Other,Unique and Artistic Picture,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,24,Paramount Famous Lasky,False,False,True,True,Paramount Famous Lasky,0,co0023400,company,Paramount,tt0017743,Chang,[],False,
2,1928/29,1930-04-03,Acting,Actor,ACTOR,Best Actor,39,Warner Baxter,False,True,False,False,Warner Baxter,0,nm0062828,person,Warner Baxter,tt0020018,In Old Arizona,['The Cisco Kid'],True,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
2,1928/29,1930-04-03,Acting,Actor,ACTOR,Best Actor,40,George Bancroft,False,False,False,False,George Bancroft,0,nm0051628,person,George Bancroft,tt0020499,Thunderbolt,['Thunderbolt Jim Lang'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actor,ACTOR,Best Actor,41,Chester Morris,False,False,False,False,Chester Morris,0,nm0606431,person,Chester Morris,tt0019630,Alibi,"['No. 1065, Chick Williams']",False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actor,ACTOR,Best Actor,42,Paul Muni,False,False,False,False,Paul Muni,0,nm0612847,person,Paul Muni,tt0020543,The Valiant,['James Dyke'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actor,ACTOR,Best Actor,43,Lewis Stone,False,False,False,False,Lewis Stone,0,nm0832011,person,Lewis Stone,tt0019257,The Patriot,['Count Pahlen'],False,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.]"
2,1928/29,1930-04-03,Acting,Actress,ACTRESS,Best Actress,44,Mary Pickford,False,True,False,False,Mary Pickford,0,nm0681933,person,Mary Pickford,tt0019788,Coquette,['Norma Besant'],True,"[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.]"
